"Park_code","Point_code","Location_type","Location_status","Stratum_code","Stratum_label","Site_code","Site_status","Panel_type","Panel_name","GRTS_order","UTME_public","UTMN_public","Public_offset","UTME_best","UTMN_best","Datum","Zone","Elevation_m","Slope_deg","Aspect_deg","Trail_or_road","Azimuth_to_point","Direction_changed","Reason_for_change","Travel_notes","Location_desc","Loc_established_date","Loc_discontinued_date","Location_notes"
"LEWI","CADI.048","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,417269,5125197,"Actual",417269,5125197,"NAD83",10,4.00,1.00,193.00,"Off trail",,0,,,"Point in nondescript area of open sedgeland.","6/5/2006","",
"LEWI","CADI.049","Survey","Rejected","4","Parkwide","CADI","Active","Biennial",,,416918,5125547,"Actual",,,,10,,,,,,0,,,,"","10/10/2006","Location inaccessible"
"LEWI","CADI.050","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,417269,5125544,"Actual",417269,5125544,"NAD83",10,4.00,3.00,223.00,"Off trail",,0,,,"Nondescript area of sedgeland reached by travel through some Scotch broom and Willow shrub","6/5/2006","",
"LEWI","CADI.051","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,417610,5125556,"Actual",417610,5125556,"NAD83",10,4.00,2.00,301.00,,,0,,"Walk up road that turns into trail. Go NE from a spot along road/trail where travel seems somewhat mellow. 2014: It is better to go off-trail S of the most direct approach; it is a little less wet farther S.","In the midst of thick willow and sedge. Feature Scotch broom is the only very obvious patch from point.","6/5/2006","",
"LEWI","CADI.052","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,417977,5125548,"Actual",417977,5125548,"NAD83",10,4.00,4.00,285.00,"Off trail",,0,,"Walk in through clearing from road (use GPS)","In sedge grass. In W edge of small clearing, surrounded by mostly willow and Scotch broom, about 40 m in (NW of) from road.","6/5/2006","",
"LEWI","CADI.053","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,419018,5125547,"Actual",419018,5125547,"NAD83",10,43.00,21.00,102.00,"Off trail",,0,,"Take road to visitor center parking lot (not coast guard road).  trail to lighthouse is in the back of the parking lot. 10 m off trail to lighthouse, large spruce on right. Exit trail between feature spruce and feature snag (next to another snag).","Point is in a bunch of ferns, off-trail to the SE of trail.","6/6/2006","",
"LEWI","CADI.054","Survey","Rejected","4","Parkwide","CADI","Active","Biennial",,,416918,5125897,"Actual",,,,10,,,,,,0,,,,"","10/10/2006","Location inaccessible"
"LEWI","CADI.055","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,417272,5125894,"Actual",417272,5125894,"NAD83",10,4.00,2.00,296.00,"Off trail",,0,,,"Nondescript location in sedgeland area thick with willow shrub and small spruce trees.","6/5/2006","",
"LEWI","CADI.056","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,417613,5125894,"Actual",417613,5125894,"NAD83",10,5.00,0.00,301.00,"Off trail",,0,,,"Right next to (W of) large marshy clearing. Surrounded by willow and Red alders. Sedge grass all around.","6/5/2006","",
"LEWI","CADI.057","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,417951,5125895,"Actual",417951,5125895,"NAD83",10,4.00,3.00,27.00,"Off trail",,0,,,"In standing water in willow shrub wetland. VERY wet. Difficult to find any features. GPS should work though. Surrounded by thick willow in rubber boot-high water. Quality mosquito habitat.","6/5/2006","",
"LEWI","CADI.058","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,418329,5125905,"Actual",418329,5125905,"NAD83",10,5.00,2.00,288.00,,,0,,,"In sedge grass, marshy Red Alder habitat. About 50 m NW of road, about 80 m W of edge of parking lot","6/5/2006","",
"LEWI","CADI.059","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,418681,5125885,"Actual",418681,5125885,"NAD83",10,33.00,7.00,204.00,"Off trail",,0,,"walk about 250 m up trail to Cape Disappointment Lighthouse","Just off trail to lighthouse, just in from big (>122 cm dbh) Sitka spruce (if going up trail, on right side of trail)","6/5/2006","",
"LEWI","CADI.060","Survey","Rejected","4","Parkwide","CADI","Active","Biennial",,,416918,5126247,"Actual",,,,10,,,,,,0,,,,"","10/10/2006","Location inaccessible"
"LEWI","CADI.061","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,417268,5126246,"Actual",417268,5126246,"NAD83",10,5.00,0.00,211.00,"Off trail",,0,,"In willow shrub with few conifers, sedge grass. Best reached from gated off road leading W from RV dump station (off road leading to campground). Walk until Easting is reached, then go S about 200-250 m. Travel isn't bad if you find an open route.","Could not find snag- might have fallen. There is a line of Scotch broom to the E about 10 m. The point is in a slightly more open area.","6/5/2006","",
"LEWI","CADI.062","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,417602,5126243,"Actual",417602,5126243,"NAD83",10,4.00,3.00,317.00,"Off trail",,0,,"Go on road heading toward campground (passing McKenzie Head Trail on left). Enter forest where 2 manhole covers (sanitary sewer) are in the road. TO AVOID DEEP WATER- walk the alder tree line. Head into the wet, marshy, mosquito-infested alder forest (S) for about 200 m.","In very wet area, amidst willows and Red alders, sururounded by sedge grass.","6/6/2006","",
"LEWI","CADI.063","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,417972,5126214,"Actual",417972,5126214,"NAD83",10,51.00,5.00,52.00,"Off trail",,0,,"Walk up McKenzie Head trail about 300 m. After the second obvious bend in trail is point. It is about 15 m to the N of the trail","Just off McKenzie Head Trail in Red Alder forest. Point next to dropoff.","6/6/2006","",
"LEWI","CADI.064","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,418323,5126278,"Actual",418323,5126278,"NAD83",10,5.00,3.00,235.00,"Off trail",,0,,"NONE","Point is 10m off road to west of marshy pond, right along its edge. Follow rough ""trail"" down edge of pond. Point is changed from its original location, which would be in the middle of the marsh.","6/6/2006","",
"LEWI","CADI.065","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,418667,5126246,"Actual",418667,5126246,"NAD83",10,6.00,2.00,205.00,"Off trail",,0,,"just below highway 101","In the middle of a skunk cabbage patch down from highway, before turn on highway as it rises.","6/7/2006","",
"LEWI","CADI.066","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,417267,5126600,"Actual",417267,5126600,"NAD83",10,5.00,2.00,191.00,"Off trail",,0,,"Best reached from dump station (see 061 travel description). Walk until easting is reached, then go N about 110 m. Travel isn't bad.","Deep in mosquito territory, willow with some coniferous trees, sedge grass, and fern.","6/5/2006","",
"LEWI","CADI.067","Survey","Rejected","4","Parkwide","CADI","Active","Biennial",,,417618,5126597,"Actual",,,,10,,,,,,0,,,,"","10/10/2006","Location inaccessible"
"LEWI","CADI.068","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,417983,5126579,"Actual",417983,5126579,"NAD83",10,5.00,1.00,261.00,"Off trail",,0,,"Walk N up north head trail for just under 200 m, point is on W side of trail, about 30-40 m. Use GPS.","a lot of standing water around. In wet Red alder forest surrounded by sedge grass and willow. Just W of a big patch of Salal. It is ~10 meters south of an alder grove.","6/6/2006","",
"LEWI","CADI.069","Survey","Retired","4","Parkwide","CADI","Active","Biennial",,,418318,5126597,"Actual",418318,5126597,"NAD83",10,5.00,0.00,356.00,,,0,,"dense underbrush on every approach to this point, excepting marsh","adjacent to large marsh and O'Neill Lake, half habitat is Sitka spruce/Western hemlock mix.","6/7/2006","5/29/2012",
"LEWI","CADI.069a","Survey","Retired","4","Parkwide","CADI","Active","Biennial",,,418148,5126571,"Actual",418148,5126571,"NAD83",10,5.00,4.00,65.00,"Off trail",82,0,"same direction, just shorter distance than original point 069","sign saying ""no trail bikes"" is 110m from point. Travel into woods, 85 degrees from sign, 110 m.",,"5/25/2012","3/19/2015","This new point (069a) is too close to 068, so it was retired."
"LEWI","CADI.070","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,418680,5126597,"Actual",418680,5126597,"NAD83",10,26.00,5.00,180.00,"Off trail",,0,,"off highway 101","mixed forested area with high shrubs to the west. Close to road.","6/7/2006","",
"LEWI","CADI.071","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,417270,5126948,"Actual",417270,5126948,"NAD83",10,6.00,1.00,286.00,,,0,,,"Basically in (or between) campsite #117 (and #118). #117 was occupied at time of point count.. 2012: campsite occupied","6/5/2006","",
"LEWI","CADI.072","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,417616,5126947,"Actual",417616,5126947,"NAD83",10,5.00,2.00,224.00,"Off trail",,0,,"Best approached from road to campsites. After passing initial left (W) turn to first group of sites, walk until road begins to bend. Go E about 150 m from there to point. Marshy for last 35 m or so (go a little N to avoid the worst of it).","wet marsh type area with few moss dry grounds. It is ~19 meters west/northwest of more open area with fewer trees.","6/5/2006","",
"LEWI","CADI.073","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,417956,5126944,"Actual",417956,5126944,"NAD83",10,45.00,17.00,72.00,"Off trail",,0,,"up trail, at Big Sitka spruce (>122 cm dbh), go E about 20 m. Use GPS.","In Sitka spruce forest surrounded by salmonberry and sword fern.","6/6/2006","",
"LEWI","CADI.074","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,418321,5126957,"Actual",418321,5126957,"NAD83",10,14.00,23.00,302.00,"Off trail",,0,,"very dense undergrowth from the approach from the road. Seems consistent from every approach.","adjacent to marsh. dense salal and large Sitka spruces.","6/7/2006","",
"LEWI","CADI.075","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,418692,5126968,"Actual",418692,5126968,"NAD83",10,40.00,8.00,140.00,"Off trail",,0,,"From the road head west, best way to go around western hemlock saplings is from the north.","West from road in Sitka spruce forest.  2010 update: point next to a sitka spruce with roots growing from side for about 2 m high from the ground (2m diameter).  The trunk is about 1m diameter.","6/5/2006","",
"LEWI","CADI.076","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,417271,5127302,"Actual",417271,5127302,"NAD83",10,6.00,1.00,74.00,,,0,,,"in/nearr campsite #180. Open. 2012: campsite occupied","6/5/2006","",
"LEWI","CADI.077","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,417620,5127293,"Actual",417620,5127293,"NAD83",10,5.00,5.00,171.00,"Off trail",,0,,"Heavy sedge grass (as tall as me!) Best reached from dead end of campground, but if sites are occupied, access from farther S down road when a seemingly open route beckons.","Deep in sedge grass, but relatively dry","6/5/2006","",
"LEWI","CADI.078","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,417939,5127303,"Actual",417939,5127303,"NAD83",10,27.00,26.00,193.00,"Off trail",,0,,"Walk up trail about 1 mile until just before a series of ascending planks/bridge. Use GPS to find point from there. If travelling from West of North Head Trail (IE CADI.077 or 072) backtrack to rd near campgrounds and hike along road to North Head trailhead. Cliffs/marsh impassable (2014). Surrounded by salal and salmonberry. Downslope of some sprawling alders.","in Sitka spruce forest, just E of a huge patch of Salal and other impossible shrub to walk through. Point ~2 meters upslope of downed sitka spruce. Surrounded by salal and salmonberry. Downslope of some sprawling alders.","6/6/2006","",
"LEWI","CADI.079","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,418321,5127295,"Actual",418321,5127295,"NAD83",10,28.00,13.00,246.00,"Off trail",,0,,,"In mixed hemlock/spruce forest, in a sort of clearing w salmonberry, salal, and elderberry. 2-3 m from hemlock in ""features seen from point"" there is a group of 5 shorter hemlock trees (10-20 cm dbh), 14 m from point at a bearing of 286 degrees from point.","6/5/2006","",
"LEWI","CADI.080","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,418660,5127361,"Actual",418660,5127361,"NAD83",10,32.00,9.00,255.00,"Off trail",,0,,"Head east off Rd. 100, around 200m south of side shoulder pull-off on west side of road.","In spruce/hemlock forest, close to slope of small drainage to south.","6/7/2006","",
"LEWI","CADI.081","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,417270,5127648,"Actual",417270,5127648,"NAD83",10,52.00,31.00,229.00,"Off trail",,0,,"Right off trail down to lighthouse","on slope before drop to ocean, beach visible from point. Near lighthouse. About 30m off-trail, toward ocean.","6/6/2006","",
"LEWI","CADI.082","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,417618,5127647,"Actual",417618,5127647,"NAD83",10,56.00,2.00,191.00,"Off trail",,0,,"100 m S of road: first 20 m are brushy, then go up ravine at 70 m. At the ravine, there is a giant moss-covered concrete block. Stay to the right of this, then climb up ~25m to the point.",,"6/5/2006","",
"LEWI","CADI.083","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,417944,5127713,"Actual",417944,5127713,"NAD83",10,53.00,15.00,50.00,"Off trail",,0,,"walk the lighthouse road until its time to crash through the brush to the south. Drop down a small drainage and climb up other side to point. Total off-trail travel is ~50m.","60 m off road (?).  Point done in fairly open area in an otherwise thick, shrubby forest.","6/5/2006","",
"LEWI","CADI.084","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,418313,5127661,"Actual",418313,5127661,"NAD83",10,53.00,9.00,196.00,"Off trail",,0,,,"Point near large hemlock, 40 m E of road. Lots of undergrowth.","6/5/2006","",
"LEWI","CADI.085","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,418682,5127629,"Actual",418682,5127629,"NAD83",10,99.00,11.00,112.00,"Off trail",,0,,"I approached from the E arm of Loop 100. Going was steep and shrubby through very nice old Sitka spruce and Western hemlock forest.  2010 UPDATE: left from road 100, really dense understory. hard to travel and steep, it took about 40 min.","Point is on a 1.5 m diameter down tree, covered with moss, open understory","6/7/2006","",
"LEWI","CADI.086","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,417268,5127997,"Actual",417268,5127997,"NAD83",10,74.00,6.00,312.00,,,0,"N5080527","Access point from Bell's View Trail (trailhead is at east end of lighthouse parking lot). Go almost to the end of the trail and by using GPS, depart when it looks like you're close. 2014: Before the end of the trail (the wooden lookout structure) there is a metal box on a post on your right side. The point can be reached following a 73 degree bearing from there.","Relatively open Sitka spruce forest with alder, grass, sword fern, and salal.  Point is in open, spruce-dominated woods w/ loads of large sword ferns and a few big Red alders.","6/6/2006","",
"LEWI","CADI.TO","Origin","Active","4","Parkwide","CADI","Active","Biennial",,,417771,5126834,"Actual",417771,5126834,"NAD83",10,10.00,27.00,295.00,,,0,,"A good set of points for a morning: 051, 052, 057, 058, 059, 053. Wear rubber boots. Very wet for points 064, 063, 068, 073, 078.  Points 076,071,072,077,and 069 marshy.... but Virginia Rail.
065, 070, 075, 080, 085 good points to do in morning. Both 080 and 085 were very difficult, lots of thick underbrush to trudge through.
046 047 048 050 055 056 good points to do in a morning, but bring rubber boots (possibly waders; some very deep water and high vegetation near 055 and 056).
Sequence 064, 063, 062, 061, 066 was pretty good. Took a long time to get to 62
Boots WILL fill up with water on marshy points (051, 057, and others). Points 046+ 047 may not be doable in high tide situations. Note to future surveyers: do points 071 and 076 first thing in the morning (especially if done Memorial Day weekend). Campground is filled with loud, inquisitive people. For points 062, 064, and 068, wear rubber boots or waders.
All (086, 081, 082, 083, 084, 079) shortly off othe road, but travel sometimes through dense shrub.
A good set of points for a morning: 077, 072, 065, 068, 073, 078.
Try to survey 065 either early in the morning or on a weekday - loud campground noises.",,"6/5/2006","",
"LEWI","DINI.087","Survey","Retired","4","Parkwide","DINI","Retired","Biennial",,,432995,5122044,"Actual",432995,5122044,"NAD83",10,68.00,16.00,39.00,,,0,,"Take the road all the way around. The point is 15 m W of two track.",,"6/6/2006","5/25/2008",
"LEWI","DINI.088","Survey","Rejected","4","Parkwide","DINI","Retired","Biennial",,,433018,5122397,"Actual",,,,10,,,,,,0,,,,"","10/10/2006","Location inaccessible"
"LEWI","DINI.089","Survey","Retired","4","Parkwide","DINI","Retired","Biennial",,,433353,5122413,"Actual",433353,5122413,"NAD83",10,38.00,29.00,120.00,,,0,,,"40 m W off road next to large stump (1 m tall)","6/6/2006","5/25/2008",
"LEWI","DINI.090","Survey","Rejected","4","Parkwide","DINI","Retired","Biennial",,,433718,5122397,"Actual",,,,10,,,,,,0,,,,"","10/10/2006","Location inaccessible"
"LEWI","DINI.TO","Origin","Retired","4","Parkwide","DINI","Retired","Biennial",,,433389,5122239,"Actual",433389,5122239,"NAD83",10,5.00,8.00,105.00,,,0,,,,"6/6/2006","5/25/2008",
"LEWI","FOCL.006","Survey","Active","4","Parkwide","FOCL","Active","Biennial",,,429510,5108047,"Actual",429510,5108047,"NAD83",10,25.00,35.00,110.00,"Off trail",,0,,"Point is 6m E off Park service road.","Shrubby hemlock stand between road and depression where alders grow.  No conspicuous features.","5/24/2006","",
"LEWI","FOCL.007","Survey","Active","4","Parkwide","FOCL","Active","Biennial",,,429168,5108397,"Actual",429168,5108397,"NAD83",10,18.00,6.00,258.00,"Off trail",,0,,"Easily accessible from park road to the immediate east.","In hemlock forest with little undergrowth, right next to a meter-deep dry ditch running east/west for 40m","5/24/2006","",
"LEWI","FOCL.008","Survey","Active","4","Parkwide","FOCL","Active","Biennial",,,429515,5108397,"Actual",429515,5108397,"NAD83",10,18.00,17.00,154.00,"Off trail",,0,,"Access from overgrown logging road to the NW. If coming from Fort 2 Sea trail (from 'sea' side), you have to cross marsh. You may want to consider entering the forest before boardwalk going over skunk cabage","Point is on young hemlock-studded slope between blowdown and wetlands, where two old stumps sit close to one another.","5/24/2006","",
"LEWI","FOCL.009","Survey","Active","4","Parkwide","FOCL","Active","Biennial",,,429868,5108397,"Actual",429868,5108397,"NAD83",10,33.00,22.00,238.00,"Off trail",,0,,"Access from ""Fort-to-Coast Trail"" (not on GPS trail layer).  Point is on SW-facing slope just past wooden walkway over a swampy drainage.","Fairly dense hemlock forest on medium slope.","5/26/2006","",
"LEWI","FOCL.010","Survey","Rejected","4","Parkwide","FOCL","Active","Biennial",,,430218,5108397,"Actual",,,,10,,,,,,0,,,,"","10/10/2006","Location inaccessible"
"LEWI","FOCL.011","Survey","Rejected","4","Parkwide","FOCL","Active","Biennial",,,430568,5108397,"Actual",,,,10,,,,,,0,,,,"","10/10/2006","Location inaccessible"
"LEWI","FOCL.012","Survey","Rejected","4","Parkwide","FOCL","Active","Biennial",,,430918,5108397,"Actual",,,,10,,,,,,0,,,,"","10/10/2006","Location inaccessible"
"LEWI","FOCL.013","Survey","Rejected","4","Parkwide","FOCL","Active","Biennial",,,431268,5108397,"Actual",,,,10,,,,,,0,,,,"","10/10/2006","Location inaccessible"
"LEWI","FOCL.014","Survey","Active","4","Parkwide","FOCL","Active","Biennial",,,431611,5108396,"Actual",431611,5108396,"NAD83",10,28.00,12.00,141.00,"Off trail",,0,,"From 021, walk on road/trail until it dead-ends. You will probably be ~130-140 m away at this point. From there, go uphill following elk trails the easiest route possible. 2012 update: Trail now makes travel easy and possible from N and S. From S, take trail across boardwalk. Trail has a couple switchbacks up hill. At the top of the hill, head W offtrail to point.","in a dark and dreary hemlock forest with some shrub on the outskirts. It is about 25 m NE of a gully.","6/7/2006","",
"LEWI","FOCL.015","Survey","Active","4","Parkwide","FOCL","Active","Biennial",,,431968,5108392,"Actual",431968,5108392,"NAD83",10,36.00,24.00,244.00,"Off trail",,0,,"some nasty traveling… From 014, there is a large wet and marshy area with A LOT of downed alders, making travel difficult because you can't crawl on hands and knees. The travel is much wetter than last visit. Easier to reach from Ft. Clatsop Rd., if possible. 2012 update: With the new trail, travel is easy. Heading S on FOCL Rd, pass wooden footbridge on Left, trail is on the right shortly after. At the trailhead, you will see a small no parking sight. Take the trail uphill. When yuo get to the first spot on the trail that is close to the point, keep going (you can take an offtrail shortcut that will cut out part of the trail as it turns, probably a game trail). When trail makes a hairpin turn, head SE to point. There is a fairly easy route over deer trails.","In thick shrub with some hemlocks surrounding point. No easy way to access it. It is more open (a small clearing) just upslope from point (NE-SE). There are still some hemlocks in it though. 2012 updateL no good permanent conspicuous features, Point in a small clearning (10m x 20m) surrounded by hemlock. 2 m snags pepper the clearing.","6/7/2006","",
"LEWI","FOCL.016","Survey","Active","4","Parkwide","FOCL","Active","Biennial",,,429868,5108747,"Actual",429868,5108747,"NAD83",10,53.00,12.00,241.00,,,0,,"Access point from road.","Point is in a small thicket of alders in the middle of a mixed forest, on a moderate slope.  On E side of dramatically leaning Doug-fir (mossy). In a slightly clear-of-groundcover spot in forest, surrounded by mostly salal and sword fern.","6/7/2006","",
"LEWI","FOCL.017","Survey","Active","4","Parkwide","FOCL","Active","Biennial",,,430188,5108747,"Actual",430188,5108747,"NAD83",10,51.00,19.00,136.00,,,0,,,"Located on the edge of an opened caused by recent blowdown, on a moderate slope among hemlocks.","5/26/2006","",
"LEWI","FOCL.018","Survey","Active","4","Parkwide","FOCL","Active","Biennial",,,430568,5108747,"Actual",430568,5108747,"NAD83",10,104.00,13.00,330.00,"Off trail",,0,,"Access from Perkins Ln. off Hwy 101. Park near overlook (where road obviously splits).","About 40 m N of grassy overgrown path just E of overlook. A lot of recent blowdowns at point. It could look different in 2 years.","5/26/2006","",
"LEWI","FOCL.019","Survey","Active","4","Parkwide","FOCL","Active","Biennial",,,430918,5108747,"Actual",430918,5108747,"NAD83",10,92.00,4.00,132.00,"Off trail",,0,,"Tough travel from any direction- probably best from 018. 2014: Do not approach point from ""fort to sea"" trail - it is way too steep and the terrain is extremely hard to walk through. Instead, follow the grassy path that would lead you close to point 018, go past it, and hit 019 straight east from there, as the grassy path curves south.","Amidst huge blowdowns. Three huge root wads N/NE of point (closest 1 m away). Trees down everywhere. Right near an intersection of several downed trees.","6/7/2006","",
"LEWI","FOCL.020","Survey","Active","4","Parkwide","FOCL","Active","Biennial",,,431268,5108747,"Actual",431268,5108747,"NAD83",10,36.00,16.00,36.00,"Off trail",,0,,"head east down hill all the way to the bottom marsh. 2008: Coordinates off from those of last visit, but followed bearing to ""bottom marsh"" as it said. Probably best from 019?  2010: Bottom marsh stream bed very far from coordinates.  If coming from 021, go off-trail at the end of the side road in the turn-around area. Added 2012: Easy approach from North off ""Sea to Slough"" trail. follow Elk trails, cross small stream and go up steep hill (due south from Sea to Slough near end).","Point at marshy stream bed. Lots of sword fern and salmonberry. 2014: Point is just upslope from roots mass of partially uprooted 1m DBH Hemlock that is leaning downhill.","6/7/2006","",
"LEWI","FOCL.021","Survey","Active","4","Parkwide","FOCL","Active","Biennial",,,431623,5108755,"Actual",431623,5108755,"NAD83",10,13.00,9.00,157.00,"Off trail",,0,,"DO NOT ACCESS FROM 022!! Ignore last year's advice. It is much wetter and marshier this visit and nearly impossible to get through. 2010: Walk to the end of side road with sign saying ""Do Not Enter"".  At the end, in the turn around area, walk south 40 meters to point in forest.  In a patch of hemlock surrounded by alder. 2012 update: After  upper and lower trail split, head 50 N on upper trail. You will see a lightly beaten path heading offtrail and downhill on your right (off upper trail). Take this path heading E to point. Point is about 35 m down this path.","In CODM forest, about 70 m W of pasture, surrounded by sword fern.","6/7/2006","",
"LEWI","FOCL.022","Survey","Active","4","Parkwide","FOCL","Active","Biennial",,,431969,5108737,"Actual",431969,5108737,"NAD83",10,2.00,8.00,11.00,"Off trail",,0,,"*Must time completion at low-ish tide.* From parking area just after road bridge, head due west and locate log bridge to cross channel.  Skirt along fence close to riverside for ~50m, break right and head towards two shrubby patches.  Stay on riverside and locate point at edge of second shrub area (closest to road). Point is on South Bank of River.","In the middle of horse pasture about 1 m S of marshy area. 2008: much wetter this year- what was thick mud last visit is fairly deep water this visit.  2010 UPDATE: the house in the picture is gone but the picture is still helpful. 2012: less marshy this year.","6/7/2006","",
"LEWI","FOCL.023","Survey","Active","4","Parkwide","FOCL","Active","Biennial",,,430568,5109097,"Actual",430568,5109097,"NAD83",10,58.00,16.00,162.00,"Off trail",,0,,,"on north side of small draw. creek is barely audible. tons of downed trees in area though where actual point is, it isn't bad.","5/26/2006","",
"LEWI","FOCL.024","Survey","Active","4","Parkwide","FOCL","Active","Biennial",,,430918,5109097,"Actual",430918,5109097,"NAD83",10,76.00,1.00,275.00,"Off trail",,0,,"Approach via the Fort to Sea trail, NOT the new Kwis Kwis trail (blowdowns much worse). Leave the Fort to Sea trail right before it takes a sharp turn to the south at about 430922 easting, 5108955 northing. Trend slightly west to avoid the worst of the blowdowns.","In area of massive blowdown. Lots of root wads. Very overgrown now- mostly salmonberry and thimbleberry right at point. There is a line of alders 5-10 m to the west.","5/26/2006","",
